exchange_flow_name,exchange_flow_id,exchange_unit,exchange_type,exchange_category,exchange_description,text
Hydroxide,fb336cba-b80e-3c67-bac9-d5bd96258d13,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Hydroxide.Elementary flows/emission/water..
"
"4,4'-Methylenedianiline",c7dfc410-23e2-352a-a172-e57112388ecf,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"4,4'-Methylenedianiline.Elementary flows/emission/air..
"
Phenanthrene,c9949a1d-90fd-3ffc-84dc-13cb5185f0d1,kg,ELEMENTARY_FLOW,Elementary flows/emission/ground,,"Phenanthrene.Elementary flows/emission/ground..
"
Dicofol,04c74e79-a82f-3fa6-96ca-a4560d021e01,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Dicofol.Elementary flows/emission/air..
"
Dichlobenil,4f5e8900-1ff9-3ff0-bdbc-f6451ccd1d66,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Dichlobenil.Elementary flows/emission/water..
"
Methyl ethyl ketone,bf688e2e-ac31-3441-b17c-c8ab06c188c6,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Methyl ethyl ketone.Elementary flows/emission/water..
"
Picoxystrobin,50961ede-1f9d-39a8-a9b9-cdbd724ce299,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Picoxystrobin.Elementary flows/emission/air..
"
Protactinium-234,afff3694-b538-36cc-8318-ed1f55063674,kBq,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Protactinium-234.Elementary flows/emission/water..
"
Clomazone,36a4d41e-c0c7-3143-8db5-5b33c04a6267,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Clomazone.Elementary flows/emission/water..
"
"2,3,4'-Trichlorobiphenyl",4f445b09-5180-3090-af10-684e598e4c36,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"2,3,4'-Trichlorobiphenyl.Elementary flows/emission/air..
"
N-Methylolacrylamide,4e238e55-a05e-3499-ab06-c07fbdd32c62,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"N-Methylolacrylamide.Elementary flows/emission/air..
"
Buprofezin,5b9223cf-339f-385a-8346-201c966b75b2,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Buprofezin.Elementary flows/emission/air..
"
N-Nitrosomorpholine,a3aa8c30-da3c-3c8d-8693-6fdeb1860fff,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"N-Nitrosomorpholine.Elementary flows/emission/air..
"
Thiram,0d49536b-d0ab-3230-96f0-76b0bb4f83fb,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Thiram.Elementary flows/emission/air..
"
Phosgene,11ba4e10-27e8-3145-aab7-29f4b254e7af,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Phosgene.Elementary flows/emission/air..
"
Palladium,c84f9368-f27b-3698-badf-84728a9a170b,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Palladium.Elementary flows/Resource/ground..
"
Chlorothalonil,36bd817c-b57c-31d2-8a08-18945cc2596a,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Chlorothalonil.Elementary flows/emission/water..
"
Bauxite,af11ae18-71fe-3183-a0b9-9e3f0390891e,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Bauxite.Elementary flows/Resource/ground..
"
Anthracene,627ef3a5-9a70-3fb9-8bb7-2792eddec502,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Anthracene.Elementary flows/emission/water..
"
Phosphorus,1733622b-b54a-3202-8e58-4670a96ef6b3,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Phosphorus.Elementary flows/emission/water..
"
Hydrogen sulfide,f8cbcd43-8201-3b05-b19a-82d305414af4,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Hydrogen sulfide.Elementary flows/emission/air..
"
Diatomite,8db22f24-6361-3d68-8aa4-4cad5d7db52c,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Diatomite.Elementary flows/Resource/ground..
"
Nitric acid,60913e05-68da-35d9-b5ae-e35e44e3c3df,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Nitric acid.Elementary flows/emission/water..
"
Strontium,42904b8f-ac78-3e54-8774-2d117b505a09,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Strontium.Elementary flows/emission/water..
"
Titanium,347eca0e-b435-30d0-8e8c-02dd23cb9694,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Titanium.Elementary flows/Resource/ground..
"
Fipronil,1628c7b9-2292-32b7-a640-1c471768ff8c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Fipronil.Elementary flows/emission/air..
"
Potassium chloride,fe74c877-77b9-3c54-bece-14cdc0096555,kg,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Potassium chloride.Elementary flows/Resource/ground..
"
Propylene oxide,4925db0d-7f56-3efa-ada9-eb799c3edd5b,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Propylene oxide.Elementary flows/emission/air..
"
Trifluralin,2302a27a-54b2-3c15-a655-88c3063a8f0a,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Trifluralin.Elementary flows/emission/air..
"
Diallate,77d326c2-8c0a-39af-b06b-5e2c8097911c,kg,ELEMENTARY_FLOW,Elementary flows/emission/air,,"Diallate.Elementary flows/emission/air..
"
Hexadecane,b6546ff7-0bf9-3866-8335-01aa38b3e8b0,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Hexadecane.Elementary flows/emission/water..
"
Metribuzin,0dfd1d77-5e92-3f90-bc7d-02cfb73b9da2,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Metribuzin.Elementary flows/emission/water..
"
Methyl iodide,cd29155b-4e6c-374e-8628-107b8d3aac40,kg,ELEMENTARY_FLOW,Elementary flows/emission/water,,"Methyl iodide.Elementary flows/emission/water..
"
Peat,6e414092-5f92-3cd9-afaa-94ddeacb895b,MJ,ELEMENTARY_FLOW,Elementary flows/Resource/ground,,"Peat.Elementary flows/Resource/ground..
"
