activity_name,activity_db,activity_code,reference_product,activity_unit,location,production_amount,functional_unit_amount,method_1,method_2,method_3,method_str,method_unit,lcia_score
coal transport - Truck,uslci_database529,7f8d805d-e22a-35f3-a29b-1c085c5d074c,"coal, transported",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.45509778266230755
Electricity - HYDRO - Portland General Electric Company,uslci_database529,35b66e2e-6956-38e2-b6a5-7519f439305e,"Electricity, AC, 2300-7650 V",MJ,Portland General Electric Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0008196534472517669
"Solid strip and plank flooring, hardwood, E",uslci_database529,027d304f-00e4-380e-9bba-4e6bde2d685a.e612ea29-a772-3244-979c-f5bb4eaac256,Solid strip and plank flooring; hardwood,m3,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,1344.753689209527
Electricity; at grid; generation mix - Arizona Public Service Company,uslci_database529,ac1c2891-6fea-3022-90bd-11e9601089a0,"Electricity, AC, 2300-7650 V",MJ,Arizona Public Service Company,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.223836188337489
"Electricity; at grid; generation mix - Puget Sound Energy, Inc.",uslci_database529,25c406dd-ff89-39bb-aef4-db059c726838,"Electricity, AC, 2300-7650 V",MJ,"Puget Sound Energy, Inc.",1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.10238312084138891
"Transport, single unit truck, long-haul, electricity powered, Northwest",uslci_database529,b3d3db4f-a2a9-3351-ac7d-7f1ebe670ba0,"Transport, single unit truck, long-haul, electricity powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0786618854280695
"coal extraction and processing - Rocky Mountain, SUB, Surface",uslci_database529,5fa7c944-1559-3e82-939d-25c518ee0c71,"coal, processed, at mine",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.01385789762541128
"Transport, combination truck, gasoline powered, Hawaii",uslci_database529,43f4d42a-0145-309d-bd89-0abfffadf4e8,"Transport, combination truck, gasoline powered",t*km,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.08584879796082459
Electricity; at grid; generation mix - PUD No. 1 of Douglas County,uslci_database529,2edd66d5-e23d-3550-8565-9239956c2f77,"Electricity, AC, 2300-7650 V",MJ,PUD No. 1 of Douglas County,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.0001908249396365136
"Lubricant feedstock, at refinery",uslci_database529,98d423fc-789a-42d0-b961-18a96bc6491c,"Lubricant feedstock, at refinery",kg,US,1.0,1.0,"ReCiPe 2016 v1.03, midpoint (I)",climate change,global warming potential (GWP1000),"('ReCiPe 2016 v1.03, midpoint (I)', 'climate change', 'global warming potential (GWP1000)')",kg CO2-Eq,0.7836046241839508
