id1,id2,flow,unit,description,type,emission_id,database,,,
"('biosphere3', '79a87f98-0b00-4e7e-86f8-70667307f696')",79a87f98-0b00-4e7e-86f8-70667307f696,2-Methyl-2-butene,kilogram,air; urban air close to ground,emission,79a87f98-0b00-4e7e-86f8-70667307f696,biosphere3,,,
"('biosphere3', '46b5bff3-38d3-417c-89c1-aa69cce3ab50')",46b5bff3-38d3-417c-89c1-aa69cce3ab50,2-Methylpentane,kilogram,"water; ground-, long-term",emission,46b5bff3-38d3-417c-89c1-aa69cce3ab50,biosphere3,,,
"('biosphere3', '3635d239-8c0f-4ebf-bc6c-07ca00bbc14c')",3635d239-8c0f-4ebf-bc6c-07ca00bbc14c,2-Methylpentane,kilogram,water; surface water,emission,3635d239-8c0f-4ebf-bc6c-07ca00bbc14c,biosphere3,,,
"('biosphere3', 'f7ea1420-3b1b-4bc8-9f9e-fdd15771c0d4')",f7ea1420-3b1b-4bc8-9f9e-fdd15771c0d4,2-Methylpentane,kilogram,water,emission,f7ea1420-3b1b-4bc8-9f9e-fdd15771c0d4,biosphere3,,,
"('biosphere3', '9df20e91-df67-4d1e-9f8a-c9b725823de4')",9df20e91-df67-4d1e-9f8a-c9b725823de4,2-Methylpentane,kilogram,water; ocean,emission,9df20e91-df67-4d1e-9f8a-c9b725823de4,biosphere3,,,
"('biosphere3', 'a9afc2a9-9479-44b6-afcf-23f305bb261c')",a9afc2a9-9479-44b6-afcf-23f305bb261c,2-Methylpentane,kilogram,air; lower stratosphere + upper troposphere,emission,a9afc2a9-9479-44b6-afcf-23f305bb261c,biosphere3,,,
"('biosphere3', 'd25a3860-4be0-4fb3-ae03-2a4f04d2aa6f')",d25a3860-4be0-4fb3-ae03-2a4f04d2aa6f,2-Methylpentane,kilogram,air; non-urban air or from high stacks,emission,d25a3860-4be0-4fb3-ae03-2a4f04d2aa6f,biosphere3,,,
"('biosphere3', 'c37f7b36-9883-4191-953f-03fd88762518')",c37f7b36-9883-4191-953f-03fd88762518,2-Methylpentane,kilogram,water; ground-,emission,c37f7b36-9883-4191-953f-03fd88762518,biosphere3,,,
"('biosphere3', '1b4da243-3412-4425-b44e-dea22e7ebd43')",1b4da243-3412-4425-b44e-dea22e7ebd43,2-Methylpentane,kilogram,"air; low population density, long-term",emission,1b4da243-3412-4425-b44e-dea22e7ebd43,biosphere3,,,
"('biosphere3', '059e6a26-7035-4621-a360-c71c5778eec8')",059e6a26-7035-4621-a360-c71c5778eec8,2-Methylpentane,kilogram,air,emission,059e6a26-7035-4621-a360-c71c5778eec8,biosphere3,,,
"('biosphere3', 'd5649872-502b-4d23-b882-26d74a9fc4b4')",d5649872-502b-4d23-b882-26d74a9fc4b4,2-Methylpentane,kilogram,air; urban air close to ground,emission,d5649872-502b-4d23-b882-26d74a9fc4b4,biosphere3,,,
"('biosphere3', '878099e4-3f82-4ec6-88c5-1acd745bf01a')",878099e4-3f82-4ec6-88c5-1acd745bf01a,2-Nitrobenzoic acid,kilogram,air; lower stratosphere + upper troposphere,emission,878099e4-3f82-4ec6-88c5-1acd745bf01a,biosphere3,,,
"('biosphere3', '409f0e6f-f0a5-4011-8f85-938e9a078f92')",409f0e6f-f0a5-4011-8f85-938e9a078f92,2-Nitrobenzoic acid,kilogram,"air; low population density, long-term",emission,409f0e6f-f0a5-4011-8f85-938e9a078f92,biosphere3,,,
"('biosphere3', '90d374f1-b739-45b2-a734-d6bdd8c8dc9c')",90d374f1-b739-45b2-a734-d6bdd8c8dc9c,2-Nitrobenzoic acid,kilogram,air; urban air close to ground,emission,90d374f1-b739-45b2-a734-d6bdd8c8dc9c,biosphere3,,,
"('biosphere3', '5884b91e-d758-4fb4-9bf0-6cf87093cdb2')",5884b91e-d758-4fb4-9bf0-6cf87093cdb2,2-Nitrobenzoic acid,kilogram,air; non-urban air or from high stacks,emission,5884b91e-d758-4fb4-9bf0-6cf87093cdb2,biosphere3,,,
"('biosphere3', '98d3f159-b420-4e43-aab5-4fd093b82429')",98d3f159-b420-4e43-aab5-4fd093b82429,2-Nitrobenzoic acid,kilogram,air,emission,98d3f159-b420-4e43-aab5-4fd093b82429,biosphere3,,,
"('biosphere3', '5357f101-f2df-5f6e-b534-f1705b597773')",5357f101-f2df-5f6e-b534-f1705b597773,2-Phenylphenol,kilogram,soil; agricultural,emission,5357f101-f2df-5f6e-b534-f1705b597773,biosphere3,,,
"('biosphere3', 'e92a1310-603c-4346-85b8-e4e3192cd75c')",e92a1310-603c-4346-85b8-e4e3192cd75c,2-Propanol,kilogram,water,emission,e92a1310-603c-4346-85b8-e4e3192cd75c,biosphere3,,,
"('biosphere3', '697667f9-d58c-4a64-99e3-30d24d7f91a2')",697667f9-d58c-4a64-99e3-30d24d7f91a2,2-Propanol,kilogram,water; ground-,emission,697667f9-d58c-4a64-99e3-30d24d7f91a2,biosphere3,,,
"('biosphere3', 'cbf58f64-9286-406f-8dcb-ef1d81eec980')",cbf58f64-9286-406f-8dcb-ef1d81eec980,2-Propanol,kilogram,air; urban air close to ground,emission,cbf58f64-9286-406f-8dcb-ef1d81eec980,biosphere3,,,
"('biosphere3', '5b33703d-d6a1-4bde-88e7-3b90b4d45550')",5b33703d-d6a1-4bde-88e7-3b90b4d45550,2-Propanol,kilogram,water; ocean,emission,5b33703d-d6a1-4bde-88e7-3b90b4d45550,biosphere3,,,
"('biosphere3', 'caeb15fa-9711-4d37-99a2-d12c7823b8bc')",caeb15fa-9711-4d37-99a2-d12c7823b8bc,2-Propanol,kilogram,water; surface water,emission,caeb15fa-9711-4d37-99a2-d12c7823b8bc,biosphere3,,,
"('biosphere3', 'ed1aff41-0bfc-48b8-8250-840c0a2f6961')",ed1aff41-0bfc-48b8-8250-840c0a2f6961,2-Propanol,kilogram,air; non-urban air or from high stacks,emission,ed1aff41-0bfc-48b8-8250-840c0a2f6961,biosphere3,,,
"('biosphere3', '56217fe7-9437-4131-9ae2-e4c4b07b3a64')",56217fe7-9437-4131-9ae2-e4c4b07b3a64,2-Propanol,kilogram,"water; ground-, long-term",emission,56217fe7-9437-4131-9ae2-e4c4b07b3a64,biosphere3,,,
"('biosphere3', '479edec6-763c-49fc-83f8-49780f08cf29')",479edec6-763c-49fc-83f8-49780f08cf29,2-Propanol,kilogram,air,emission,479edec6-763c-49fc-83f8-49780f08cf29,biosphere3,,,
"('biosphere3', '1cd24bc8-53b9-43e8-ad58-4438c9244a10')",1cd24bc8-53b9-43e8-ad58-4438c9244a10,2-Propanol,kilogram,air; lower stratosphere + upper troposphere,emission,1cd24bc8-53b9-43e8-ad58-4438c9244a10,biosphere3,,,
"('biosphere3', '326b94e8-aea0-4bd4-8a50-63bf283882a8')",326b94e8-aea0-4bd4-8a50-63bf283882a8,2-Propanol,kilogram,"air; low population density, long-term",emission,326b94e8-aea0-4bd4-8a50-63bf283882a8,biosphere3,,,
"('biosphere3', '5e98fd60-8da0-4006-9729-4d2797f96302')",5e98fd60-8da0-4006-9729-4d2797f96302,"2,2,4-Trimethyl pentane",kilogram,air,emission,5e98fd60-8da0-4006-9729-4d2797f96302,biosphere3,,,
"('biosphere3', 'f681eb3c-854a-4f78-bcfe-76dfbcf9df3c')",f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,"2,4-D",kilogram,soil; agricultural,emission,f681eb3c-854a-4f78-bcfe-76dfbcf9df3c,biosphere3,,,
"('biosphere3', 'e6137e6e-84a6-4fa1-a5bf-47c8153d7c05')",e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,"2,4-D",kilogram,air; non-urban air or from high stacks,emission,e6137e6e-84a6-4fa1-a5bf-47c8153d7c05,biosphere3,,,
"('biosphere3', '4d7c44eb-4910-5a23-be35-3e78bf864d12')",4d7c44eb-4910-5a23-be35-3e78bf864d12,"2,4-D",kilogram,water; ground-,emission,4d7c44eb-4910-5a23-be35-3e78bf864d12,biosphere3,,,
