consumer_process_id,consumer_process_name,supplier_process_id,supplier_process_name,supplier_location,input_flow_name,input_flow_unit,note
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",GLO,"Silicon, solar grade",kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,517a14daa453434397033cf978e95cb4,Flat glass,GLO,Flat glass,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,cc4018cea8ae4c2cb77e478d9b81d2c1,"aluminum, average US",GLO,"aluminum, average US",kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,557c928bb1d243bab9895bc1e1ae9ef2,"steel, 30/70 BOF/EAF",GLO,"steel, 30/70 BOF/EAF",kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,a7855d4c3576430ead06c5ff802533e2,Manganese ,GLO,Manganese ,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,21bafe812be94eeaa9270b20b9dd6115,lithium hydroxide ,GLO,lithium hydroxide ,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,5b6adeb1f1284b1e892a5875b7c9e186,chromium,GLO,chromium,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,85604417e5c64cfc896a271d0df46442,glass fiber reinforced plastic,GLO,glass fiber reinforced plastic,kg,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,89389d98-1ba6-30c5-9c33-92443694936b_copy2,"Electricity, at Grid, US, 2023",Northern America,"Electricity, at grid 2023",megajoule,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,6432507b674148ed87e144558d34d260,landfilling EOL PV module,GLO,landfilling EOL PV module,MW,Supplier process_id not found in new USLCI extract
b5f9da52f03d4028b535bb59e61e8fec_copy10,PV-Si_V2 REMPD base case EOL no credits,e0414e82ae0642448cb69c98163a1e40,"Silver, economic allocation",GLO,"Silver, economic allocation",kg,Supplier process_id not found in new USLCI extract
ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,7b7babef-a97a-3510-88f2-ee70aa1fa03b,"Natural gas, combusted in industrial equipment",Northern America,"Natural gas, combusted in industrial equipment, 1.357 m3/kg, 52.13 MJ/kg",cubic meter,Supplier process_id not found in new USLCI extract
ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,0a422ed459d74a05b58a52a6b2ccabe3,concentrated lithium brine,GLO,concentrated lithium brine,kg,Supplier process_id not found in new USLCI extract
ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,faa85914-ec68-377e-aee5-0e0af4e27fc8.bf2b1e5a-4c92-3974-a2fd-a68898833086,"Chlorine, production mix, at plant",United States,"Sodium hydroxide, production mix, at plant",kilogram,Supplier process_id not found in new USLCI extract
ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,1b6afe73-a064-33a3-87b0-265ae10851e9.f867896e-830f-31f9-975d-465b212262ef,"Sulfuric acid, at plant",Northern America,"Sulfuric acid, at plant",kilogram,Supplier process_id not found in new USLCI extract
ac90960d53f34ebeb7cdf233576abb4a,lithium carbonate,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
6984791343d14db78acacc1316d6b341,LFP battery kwh,2a0d5a60272b4371a22bb858c8d24e1b_copy2,LFP battery_V2 base case EoL,GLO,LFP battery_V2 base case EOL,MW,Supplier process_id not found in new USLCI extract
f934ea7caf914cbeb64bacbdc767763b,graphite ore,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
ba88141e29744f75b00179795ec0dba2_copy1,Iridium,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
ba88141e29744f75b00179795ec0dba2_copy1,Iridium,5b81b61c-4d10-3bed-9926-8a5f868f5174,"Natural gas, combusted in industrial boiler",Northern America,"Natural gas, combusted in industrial boiler",cubic meter,Supplier process_id not found in new USLCI extract
517a14daa453434397033cf978e95cb4,Flat glass,5b81b61c-4d10-3bed-9926-8a5f868f5174,"Natural gas, combusted in industrial boiler",Northern America,"Natural gas, combusted in industrial boiler",cubic meter,Supplier process_id not found in new USLCI extract
517a14daa453434397033cf978e95cb4,Flat glass,89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",5b81b61c-4d10-3bed-9926-8a5f868f5174,"Natural gas, combusted in industrial boiler",Northern America,"Natural gas, combusted in industrial boiler",cubic meter,Supplier process_id not found in new USLCI extract
6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",faa85914-ec68-377e-aee5-0e0af4e27fc8.a1167c39-1c98-360a-b834-c22a9726c001,"Chlorine, production mix, at plant",United States,"Chlorine, production mix, at plant",kilogram,Supplier process_id not found in new USLCI extract
6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",89389d98-1ba6-30c5-9c33-92443694936b_copy1,"Electricity, at Grid, China",China,"Electricity, at grid, China",megajoule,Supplier process_id not found in new USLCI extract
6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",811e9dc84b9c4a0db7d0ae790fc19de9,"silicon, metallurgical grade",GLO,"silicon, metallurgical grade",kg,Supplier process_id not found in new USLCI extract
6178c8732acf4153a85518f198025527_copy1,"Silicon, solar grade",344a7ac0-8c18-4869-bb63-3e44e811a1d9,"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",Northern America,"Sodium hydroxide; chlor-alkali average, membrane cell; at plant; 50% solution state",kilogram,Supplier process_id not found in new USLCI extract
55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",5b81b61c-4d10-3bed-9926-8a5f868f5174,"Natural gas, combusted in industrial boiler",Northern America,"Natural gas, combusted in industrial boiler",cubic meter,Supplier process_id not found in new USLCI extract
55685bcc48964cc2b130cd1eaf829405_copy1,"Cobalt sulfate, battery grade ECON ALLOC",dfa7acbc-4a41-3329-951d-b6cde899c91e.48187a93-fc4e-3c80-98c2-5b0eaafc07d4,"Sulfur, at plant",Northern America,"Sulfur, at plant",kilogram,Supplier process_id not found in new USLCI extract
